currency_code,year,dollar_ex
AUD,2000,1.0
AUD,2001,1.0
AUD,2002,1.0
AUD,2003,1.0
AUD,2004,1.0
AUD,2005,1.0
AUD,2006,1.0
AUD,2007,1.0
AUD,2008,1.0
AUD,2009,1.0
AUD,2010,1.0
AUD,2011,1.0
AUD,2012,1.0
AUD,2013,1.0
AUD,2014,1.0
AUD,2015,1.0
AUD,2016,1.0
AUD,2017,1.0
AUD,2018,1.0
AUD,2019,1.0
AUD,2020,1.0
AUD,2021,1.0
AUD,2022,1.0
BRL,2000,1.0
BRL,2001,2.0
BRL,2002,2.0
BRL,2003,3.0
BRL,2004,3.0
BRL,2005,2.0
BRL,2006,2.0
BRL,2007,1.5
BRL,2008,1.0
BRL,2009,1.0
BRL,2010,1.0
BRL,2011,1.0
BRL,2012,1.5
BRL,2013,1.5
BRL,2014,2.0
BRL,2015,2.5
BRL,2016,3.5
BRL,2017,3.0
BRL,2018,3.0
BRL,2019,3.0
BRL,2020,4.5
BRL,2021,5.0
BRL,2022,5.0
CAD,2000,1.0
CAD,2001,1.0
CAD,2002,1.0
CAD,2003,1.0
CAD,2004,1.0
CAD,2005,1.0
CAD,2006,1.0
CAD,2007,1.0
CAD,2008,1.0
CAD,2009,1.0
CAD,2010,1.0
CAD,2011,1.0
CAD,2012,1.0
CAD,2013,1.0
CAD,2014,1.0
CAD,2015,1.0
CAD,2016,1.0
CAD,2017,1.0
CAD,2018,1.0
CAD,2019,1.0
CAD,2020,1.0
CAD,2021,1.0
CAD,2022,1.0
CLP,2000,514.0
CLP,2001,601.0
CLP,2002,655.0
CLP,2003,716.0
CLP,2004,641.0
CLP,2005,592.0
CLP,2006,525.5
CLP,2007,533.0
CLP,2008,494.0
CLP,2009,548.0
CLP,2010,513.0
CLP,2011,462.0
CLP,2012,499.5
CLP,2013,489.5
CLP,2014,552.5
CLP,2015,634.5
CLP,2016,683.0
CLP,2017,667.5
CLP,2018,628.0
CLP,2019,683.5
CLP,2020,779.5
CLP,2021,739.0
CLP,2022,863.0
COP,2004,2769.0
COP,2005,2327.0
COP,2006,2503.0
COP,2007,2097.5
COP,2008,1798.0
COP,2009,2095.0
COP,2010,1981.5
COP,2011,1770.0
COP,2012,1828.0
COP,2013,1847.0
COP,2014,1914.5
COP,2015,2536.0
COP,2016,3091.0
COP,2017,3023.0
COP,2018,2859.0
COP,2019,3209.0
COP,2020,3452.0
COP,2021,3651.0
COP,2022,4118.0
CRC,2004,433.0
CRC,2005,475.0
CRC,2006,509.0
CRC,2007,513.5
CRC,2008,551.0
CRC,2009,582.0
CRC,2010,552.0
CRC,2011,504.0
CRC,2012,509.0
CRC,2013,499.0
CRC,2014,519.0
CRC,2015,534.5
CRC,2016,540.5
CRC,2017,563.0
CRC,2018,567.5
CRC,2019,593.5
CRC,2020,575.0
CRC,2021,615.0
CRC,2022,660.0
CZK,2000,39.0
CZK,2001,39.0
CZK,2002,34.0
CZK,2003,28.0
CZK,2004,26.0
CZK,2005,24.0
CZK,2006,22.5
CZK,2007,21.0
CZK,2008,14.0
CZK,2009,18.0
CZK,2010,18.5
CZK,2011,17.0
CZK,2012,20.5
CZK,2013,19.0
CZK,2014,20.0
CZK,2015,24.0
CZK,2016,24.5
CZK,2017,23.5
CZK,2018,21.0
CZK,2019,22.0
