country_code,year,kg_person
AUS,2000,26.515
AUS,2021,19.187
AUS,2020,19.438
AUS,2019,19.698
AUS,2018,19.965
AUS,2017,21.250999999999998
AUS,2016,19.473
AUS,2015,20.519000000000002
AUS,2014,22.587
AUS,2013,23.744
AUS,2012,22.435
AUS,2022,19.088
AUS,2010,25.31
AUS,2009,23.454
AUS,2008,23.343000000000004
AUS,2007,24.166
AUS,2006,27.03
AUS,2005,27.19
AUS,2004,28.719
AUS,2003,25.958000000000002
AUS,2002,25.263
AUS,2001,24.605999999999998
AUS,2011,23.287
BRA,2008,26.987
BRA,2007,30.758000000000003
BRA,2006,32.082
BRA,2001,24.993000000000002
BRA,2004,27.678
BRA,2003,29.695999999999998
BRA,2002,25.699
BRA,2009,25.673000000000002
BRA,2005,29.721999999999998
BRA,2010,26.325
BRA,2015,24.968000000000004
BRA,2012,26.160999999999998
BRA,2013,27.765
BRA,2014,26.041
BRA,2016,25.391
BRA,2017,25.373
BRA,2022,24.559
BRA,2021,24.605
BRA,2020,24.445
BRA,2000,25.237
BRA,2011,25.903000000000002
BRA,2019,25.186999999999998
BRA,2018,25.263
CAN,2021,17.394000000000002
CAN,2022,17.188
CAN,2002,22.415
CAN,2001,22.5
CAN,2000,23.410999999999998
CAN,2003,23.655
CAN,2004,22.711
CAN,2005,21.994
CAN,2007,22.146
CAN,2008,21.473000000000003
CAN,2009,20.434
CAN,2006,21.711
CAN,2011,19.804000000000002
CAN,2020,17.578
CAN,2010,20.305
CAN,2018,18.422
CAN,2017,18.273
CAN,2016,18.316
CAN,2019,17.623
CAN,2014,19.177
CAN,2013,19.813
CAN,2012,20.012
CAN,2015,17.633
CHL,2007,16.218
CHL,2000,15.658
CHL,2001,14.054
CHL,2002,14.699000000000002
CHL,2003,15.894
CHL,2004,16.402
CHL,2005,17.445
CHL,2006,15.129000000000001
CHL,2008,15.115
CHL,2018,18.67
CHL,2010,15.412
CHL,2011,14.162
CHL,2012,14.675
CHL,2013,17.160999999999998
CHL,2014,17.602
CHL,2015,17.441
CHL,2016,18.855
CHL,2017,17.548
CHL,2019,20.118
CHL,2020,20.262
CHL,2021,20.461
CHL,2022,20.666
CHL,2009,15.154000000000002
COL,2021,8.717
COL,2008,11.91
COL,2001,11.866
COL,2018,10.624
COL,2017,10.49
COL,2016,11.335
COL,2015,12.277000000000001
COL,2014,12.17
COL,2013,12.112
COL,2012,12.633
COL,2011,12.32
COL,2010,11.681
COL,2009,10.890999999999998
COL,2022,8.81
COL,2007,12.24
COL,2006,12.852
COL,2005,12.659
COL,2004,11.548
COL,2003,10.6
COL,2002,11.36
COL,2000,12.984000000000002
COL,2019,8.53
COL,2020,8.62
ISR,2021,23.295
ISR,2001,15.167
ISR,2002,17.774
ISR,2003,18.342
ISR,2004,8.98
ISR,2005,16.87
ISR,2006,21.967
ISR,2007,19.333
ISR,2008,23.448
ISR,2009,17.855
ISR,2010,18.893
ISR,2011,19.583
ISR,2012,18.165
ISR,2013,23.298000000000002
ISR,2014,18.672
ISR,2015,18.7
ISR,2016,20.296
ISR,2017,20.909000000000002
ISR,2022,23.378
ISR,2018,22.851
ISR,2000,16.532
ISR,2020,23.214000000000002
ISR,2019,23.16
JPN,2019,7.541
JPN,2000,8.618
JPN,2001,7.03
JPN,2002,7.127999999999999
JPN,2003,6.98
JPN,2004,6.962000000000001
JPN,2005,6.234
JPN,2006,6.188
JPN,2007,6.38
JPN,2008,6.386
JPN,2020,7.643
JPN,2009,6.492000000000001
