"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,6.97,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,6.9,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,6.83,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,7.01,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,7.33,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,7.47,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,7.68,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,7.76,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,8.1,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,8.07,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,7.91,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,7.72,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,7.66,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,7.67,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.76,,
"ESP","Spain","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.85,,
