date,currency_code,name,local_price,dollar_ex,dollar_price
4/1/00,ARS,Argentina,2.5,1,2.5
4/1/00,AUD,Australia,2.59,1,2.59
4/1/00,BRL,Brazil,2.95,1,2.95
4/1/00,GBP,Britain,1.9,1,1.9
4/1/00,CAD,Canada,2.85,1,2.85
4/1/00,CLP,Chile,1260,514,2.45
4/1/00,CNY,China,9.9,8,1.24
4/1/00,CZK,Czech Republic,54.37,39,1.39
4/1/00,DKK,Denmark,24.75,8,3.09
4/1/00,EUR,Euro area,2.56,1,2.56
4/1/00,HKD,Hong Kong,10.2,7,1.46
4/1/00,HUF,Hungary,339,279,1.22
4/1/00,IDR,Indonesia,14500,7945,1.83
4/1/00,ILS,Israel,14.5,4,3.62
4/1/00,JPY,Japan,294,106,2.77
4/1/00,MYR,Malaysia,4.52,3,1.51
4/1/00,MXN,Mexico,20.9,9,2.32
4/1/00,NZD,New Zealand,3.4,2,1.7
4/1/00,PLN,Poland,5.5,4,1.38
4/1/00,RUB,Russia,39.5,28,1.41
4/1/00,SGD,Singapore,3.2,1,3.2
4/1/00,ZAR,South Africa,9,6,1.5
4/1/00,KRW,South Korea,3000,1108,2.71
4/1/00,SEK,Sweden,24,8,3
4/1/00,CHF,Switzerland,5.9,1,5.9
4/1/00,TWD,Taiwan,70,30,2.33
4/1/00,THB,Thailand,55,38,1.45
4/1/00,USD,United States,2.24,1,2.24
4/1/01,ARS,Argentina,2.5,1,2.5
4/1/01,AUD,Australia,3,1,3
4/1/01,BRL,Brazil,3.6,2,1.8
4/1/01,GBP,Britain,1.99,1,1.99
4/1/01,CAD,Canada,3.33,1,3.33
4/1/01,CLP,Chile,1260,601,2.1
4/1/01,CNY,China,9.9,8,1.24
4/1/01,CZK,Czech Republic,56,39,1.44
4/1/01,DKK,Denmark,24.75,8,3.09
4/1/01,EUR,Euro area,2.57,1,2.57
4/1/01,HKD,Hong Kong,10.7,7,1.53
4/1/01,HUF,Hungary,399,303,1.32
4/1/01,IDR,Indonesia,14700,10855,1.35
4/1/01,JPY,Japan,294,124,2.37
4/1/01,MYR,Malaysia,4.52,3,1.51
4/1/01,MXN,Mexico,21.9,9,2.43
4/1/01,NZD,New Zealand,3.6,2,1.8
4/1/01,PHP,Philippines,59,50,1.18
4/1/01,PLN,Poland,5.9,4,1.48
4/1/01,RUB,Russia,35,28,1.25
